Test_ID,Print_Quality,Applied_Stress_MPa,k1,k2,primary_end_idx,secondary_end_idx,has_tertiary
H.10.2,High,9.678677125149067,4,3,,,False
H.10.2,High,9.678677125149067,4,4,,,False
H.10.2,High,9.678677125149067,4,5,,,False
H.10.2,High,9.678677125149067,5,2,,,False
H.10.2,High,9.678677125149067,5,3,,,False
H.10.2,High,9.678677125149067,5,4,,,False
H.10.2,High,9.678677125149067,5,5,,,False
S.20.3,Standard,20.0200598489857,2,2,,,False
S.20.3,Standard,20.0200598489857,2,3,,,False
S.20.3,Standard,20.0200598489857,2,4,,,False
S.20.3,Standard,20.0200598489857,2,5,,,False
S.20.3,Standard,20.0200598489857,3,2,,,False
S.20.3,Standard,20.0200598489857,3,3,,,False
S.20.3,Standard,20.0200598489857,3,4,,,False
S.20.3,Standard,20.0200598489857,3,5,,,False
S.20.3,Standard,20.0200598489857,4,2,,,False
S.20.3,Standard,20.0200598489857,4,3,,,False
S.20.3,Standard,20.0200598489857,4,4,,,False
S.20.3,Standard,20.0200598489857,4,5,,,False
S.20.3,Standard,20.0200598489857,5,2,,,False
S.20.3,Standard,20.0200598489857,5,3,,,False
S.20.3,Standard,20.0200598489857,5,4,,,False
S.20.3,Standard,20.0200598489857,5,5,,,False
H.20.2,High,19.134063302820945,2,2,,,False
H.20.2,High,19.134063302820945,2,3,,,False
H.20.2,High,19.134063302820945,2,4,,,False
H.20.2,High,19.134063302820945,2,5,,,False
H.20.2,High,19.134063302820945,3,2,,,False
H.20.2,High,19.134063302820945,3,3,,,False
H.20.2,High,19.134063302820945,3,4,,,False
H.20.2,High,19.134063302820945,3,5,,,False
H.20.2,High,19.134063302820945,4,2,,,False
H.20.2,High,19.134063302820945,4,3,,,False
H.20.2,High,19.134063302820945,4,4,,,False
H.20.2,High,19.134063302820945,4,5,,,False
H.20.2,High,19.134063302820945,5,2,,,False
H.20.2,High,19.134063302820945,5,3,,,False
H.20.2,High,19.134063302820945,5,4,,,False
H.20.2,High,19.134063302820945,5,5,,,False
S.10.1,Standard,10.201861597362072,2,2,,,False
S.10.1,Standard,10.201861597362072,2,3,,,False
S.10.1,Standard,10.201861597362072,2,4,,,False
S.10.1,Standard,10.201861597362072,2,5,,,False
S.10.1,Standard,10.201861597362072,3,2,,,False
S.10.1,Standard,10.201861597362072,3,3,,,False
S.10.1,Standard,10.201861597362072,3,4,,,False
S.10.1,Standard,10.201861597362072,3,5,,,False
S.10.1,Standard,10.201861597362072,4,2,,,False
S.10.1,Standard,10.201861597362072,4,3,,,False
S.10.1,Standard,10.201861597362072,4,4,,,False
S.10.1,Standard,10.201861597362072,4,5,,,False
S.10.1,Standard,10.201861597362072,5,2,,,False
S.10.1,Standard,10.201861597362072,5,3,,,False
S.10.1,Standard,10.201861597362072,5,4,,,False
S.10.1,Standard,10.201861597362072,5,5,,,False
S.10.2,Standard,9.999208724849682,2,2,,,False
S.10.2,Standard,9.999208724849682,2,3,,,False
S.10.2,Standard,9.999208724849682,2,4,,,False
S.10.2,Standard,9.999208724849682,2,5,,,False
S.10.2,Standard,9.999208724849682,3,2,,,False
S.10.2,Standard,9.999208724849682,3,3,,,False
S.10.2,Standard,9.999208724849682,3,4,,,False
S.10.2,Standard,9.999208724849682,3,5,,,False
S.10.2,Standard,9.999208724849682,4,2,,,False
S.10.2,Standard,9.999208724849682,4,3,,,False
S.10.2,Standard,9.999208724849682,4,4,,,False
S.10.2,Standard,9.999208724849682,4,5,,,False
S.10.2,Standard,9.999208724849682,5,2,,,False
S.10.2,Standard,9.999208724849682,5,3,,,False
S.10.2,Standard,9.999208724849682,5,4,,,False
S.10.2,Standard,9.999208724849682,5,5,,,False
H.10.3,High,9.659087042337331,2,2,,,False
H.10.3,High,9.659087042337331,2,3,,,False
H.10.3,High,9.659087042337331,2,4,,,False
H.10.3,High,9.659087042337331,2,5,,,False
H.10.3,High,9.659087042337331,3,2,,,False
