Test_ID,varying,held_k2,mean_abs_delta,max_abs_delta,held_k1
S.30.1,k1,3.0,58.333333333333336,72.0,
S.30.1,k1,4.0,58.333333333333336,72.0,
S.30.1,k1,5.0,58.333333333333336,72.0,
S.30.1,k2,,93.33333333333333,207.0,2.0
S.30.1,k2,,93.33333333333333,207.0,3.0
S.30.1,k2,,49.333333333333336,75.0,4.0
S.30.1,k2,,24.333333333333332,73.0,5.0
S.30.2,k1,2.0,99.66666666666667,208.0,
S.30.2,k1,3.0,99.66666666666667,208.0,
S.30.2,k1,4.0,99.66666666666667,208.0,
S.30.2,k1,5.0,99.66666666666667,208.0,
S.30.2,k2,,139.66666666666666,352.0,2.0
S.30.2,k2,,104.33333333333333,283.0,3.0
S.30.2,k2,,104.33333333333333,283.0,4.0
S.30.2,k2,,36.666666666666664,56.0,5.0
S.30.3,k1,2.0,0.0,0.0,
S.30.3,k1,3.0,0.0,0.0,
S.30.3,k1,4.0,0.0,0.0,
S.30.3,k1,5.0,0.0,0.0,
S.30.3,k2,,0.0,0.0,2.0
S.30.3,k2,,0.0,0.0,3.0
S.30.3,k2,,,,4.0
S.30.3,k2,,,,5.0
S.30.4,k1,2.0,,,
S.30.4,k1,3.0,,,
S.30.4,k1,4.0,,,
S.30.4,k1,5.0,,,
S.30.4,k2,,0.0,0.0,2.0
S.30.4,k2,,,,3.0
S.30.4,k2,,,,4.0
S.30.4,k2,,,,5.0
